group,student_id
AR,-
AR,12345
AR,ABCDEFG
AR,C2TB5066
AR,C2TB5069
AR,C2TD9113
AR,C2WD9002
AR,C3ID2505
AR,C3ID2508
AR,C3TB1709
AR,C3TB2115
AR,C3TD9108
AR,C3TD9606
AR,C3TM9116
AR,C4IM2022
AR,C4IM2041
AR,C4LB1081
AR,C4MB4024
AR,C4SB1034
AR,C4SD6009
AR,C4SM6701
AR,C4TB1072
AR,C4TD9112
AR,C4TD9604
AR,C4TM1824
AR,C4TM9505
AR,C4TM9705
AR,C5AB1147
AR,C5AM9202
AR,C5DD2007
AR,C5EM1506
AR,C5IM1025
AR,C5MD5526
AR,C5TD9121
AR,C5TJ1010
AR,C5TJ4005
AR,C5TM1041
AR,C5TM1415
AR,C5TM5020
AR,ICE
AR,KOREANA
AR,NOATAGUCHI
AR,NOSTUDENTIDBECAUSEIAMNOTASTUDENT
AR,ROB
CONTROL,C2TB1206
CONTROL,C2TB5032
CONTROL,C3GD1504
CONTROL,C3ID3004
CONTROL,C3IM2014
CONTROL,C3MD2501
CONTROL,C3SB4705
CONTROL,C3TB1707
CONTROL,C3TB5502
CONTROL,C3TM9124
CONTROL,C4EM1508
CONTROL,C4ID2506
CONTROL,C4IM2502
CONTROL,C4IM2504
CONTROL,C4TB1701
CONTROL,C4TD9601
CONTROL,C5AF1008
CONTROL,C5BE3001
CONTROL,C5GM1505
CONTROL,C5ID2501
CONTROL,C5IE2502
CONTROL,C5IE2503
CONTROL,C5IF2501
CONTROL,C5IM1005
CONTROL,C5IM1503
CONTROL,C5IM2029
CONTROL,C5IM2067
CONTROL,C5IM2502
CONTROL,C5LE1024
CONTROL,C5MF1004
CONTROL,C5TD9123
CONTROL,C5TM1610
CONTROL,C5TM9117
CONTROL,C5TM9602
CONTROL,C5VJ5054
CONTROL,C5VJ5121
CONTROL,C5WD1003
CONTROL,C5WF1002
CONTROL,C5WM9001
CONTROL,CTE
CONTROL,PAI
CONTROL,POOM
CONTROL,SATO
CONTROL,WANG
SMARTWATCH,AOM
SMARTWATCH,ARTIM
SMARTWATCH,AUN
SMARTWATCH,C2TB1154
SMARTWATCH,C2TB1222
SMARTWATCH,C2TB1708
SMARTWATCH,C2TB5035
SMARTWATCH,C2TB5503
SMARTWATCH,C2TD9111
SMARTWATCH,C3TD1607
SMARTWATCH,C3YD1027
SMARTWATCH,C4EM1507
SMARTWATCH,C4ID2014
SMARTWATCH,C4ID3503
SMARTWATCH,C4IM2506
SMARTWATCH,C4IM3012
SMARTWATCH,C4TB4064
SMARTWATCH,C4TD9111
SMARTWATCH,C4TM4611
SMARTWATCH,C4TM9112
SMARTWATCH,C4TM9204
SMARTWATCH,C4YM1056
SMARTWATCH,C5BM1022
SMARTWATCH,C5EE1003
SMARTWATCH,C5ID1005
SMARTWATCH,C5IM2046
SMARTWATCH,C5IM2066
SMARTWATCH,C5RZ6101
SMARTWATCH,C5TB1190
SMARTWATCH,C5TD9120
SMARTWATCH,C5TF1604
SMARTWATCH,C5TJ1020
SMARTWATCH,C5TJ2016
SMARTWATCH,C5TM1060
SMARTWATCH,C5TM1062
SMARTWATCH,C5TM1402
SMARTWATCH,C5TM1640
SMARTWATCH,C5TM9104
SMARTWATCH,C5TM9115
SMARTWATCH,C5TM9603
SMARTWATCH,C6IM3011
SMARTWATCH,DAIKI
SMARTWATCH,HONGTHONGPONTAKORN
SMARTWATCH,KOREANB
